Designator,Mid X,Mid Y,Rotation,Layer
D1,120.5,-99.69,90.0,top
D2,120.5,-118.5,90.0,top
D3,139.5,-99.69,90.0,top
D4,139.5,-118.5,90.0,top
D5,158.5,-100.0,90.0,top
D6,158.5,-118.69,90.0,top
D7,177.5,-100.0,90.0,top
D8,177.5,-118.69,90.0,top
D9,141.0,-71.5,90.0,bottom
SW1,111.0,-97.1,0.0,top
SW2,130.0,-97.1,0.0,top
SW3,149.0,-97.1,0.0,top
SW4,168.0,-97.1,0.0,top
SW5,111.0,-116.1,0.0,top
SW6,130.0,-116.1,0.0,top
SW7,149.0,-116.1,0.0,top
SW8,168.0,-116.1,0.0,top
SW9,152.62,-71.62,180.0,top
U1,169.0,-72.0,180.0,bottom
U2,118.0,-74.1665,0.0,top
